address,tokens
Qubelabs,27153015680871
bitcoinsuisse.com,26711441863923
Finoa Consensus Services,24543311443653
BinanceNode,19563333083788
Chorus One,18775056869670
P2P.org 💙,17185089832335
P-OPS Team,13096756974778
Figment,11948468770085
Anchorage Digital,10999802676535
Cosmostation,10086231917041
Keplr,9030175864447
Upnode,7381138412596
Staking Facilities,7244477800561
Hex Trust,7040720786542
Binary Builders,7026728054438
Coinbase,6922475818327
CUCK.,6636456832272
Kiln,6510461748112
Everstake,6386481224875
IYKYK,6158996292575
DSRV,6046196961605
T DATA,6025730412794
01node,5980148625288
ContributionDAO,5816124748258
Cumulo,5757211203373
Tane,5500387990515
TTT VN,5500355900463
KYVE Public Good Funding,5500121947410
node101,5500120840521
Nansen | Stake to Stack Points,5390114554755
GalaxyDigital,5143148582483
senggigi,5122918542873
Goose,5000425451970
Nocturnal Labs,4947013839218
Kraken,4576763276480
XPRV,4200249653949
Informal Systems,3990779577555
NodeStake,3924919508994
Validatus,3809223473223
Stakely.io,3780573153372
Stakecito,3688527197518
Stakin,3636998807981
Easy 2 Stake,3557782250211
Nodes.Guru,3431938275838
Enigma,3404882307298
B-Harvest,3397161713313
 kjnodes.com 🦄,3355012739841
Alchemy,3328566648789
ZKV,3192142237663
wavefive,3130988397475
Stake🦑Squid,3121977072335
Smart Stake 📈📊,3051103910404
itrocket,3041101375229
STAKEME,3036664559928
alphab.ai,3032984503325
CroutonDigital,3032001045481
StakeTown,3012970305100
Kairos Research X Firstset,3012061908002
LuckyResearch Labs,3010243324592
deNodes,3004204402710
F5 Nodes,3000981199339
CosmoWiz,3000854986056
mammoth.guru,3000481852740
Cosmic Validator,3000427806632
CHAIN DIGITAL,3000220695917
bitszn,3000204987746
ECAD Infra,3000116091818
21state,3000113211100
StakeUs,3000110846915
Neoprom,3000059084290
quantumcore,3000055810000
Endorphine Stake,3000003020000
ChainTrails Team | 🛠️,3000001020000
DTEAM,3000001000000
POSTHUMAN 🧬 StakeDrop,2513996255312
VALIDEXIS,2500148703447
Imperator.co,2375892801239
AI,2320836011708
Swiss Staking,2216325686243
Blockdaemon,2087412509474
Go,1911169990720
Colossus,1785109155824
polkachu.com,1736467380953
Allnodes,1384704836420
PRYZM | StakeDrop,1371332197369
LatamNodes,1287165965259
BlackBlocks,1280472591054
ValiDAO,1214859644782
Larry Engineer,1177665099082
strangelove,1135910268452
w3.labs,1100269977497
NakoTurk,1008740534299
ttechvalidator,1000189248768
project blanc,1000187997434
iqlusion,950871947707
 Lavender.Five Nodes 🐝,766197865714
Twinstake,683935705478
StakeLab.zone,444219745552
FreshSTAKING,404572064484
Node Guardians,359665089051
✅ CryptoCrew Validators,335493917277
StakingCabin,305309074328
Brightlystake,161246135732
"Frens (🤝,🤝)",148736088393
Astria,73065405454
Lemniscap,61274080494
<decommissioned>,43197089006
Bodhi Ventures,43001000000
Please Redelegate to The New node101 Validator,42200651962
"[Sunsetting, please redelegate] | Forbole",39027876257
