address,tokens
Twinstake,312411068
Upbit Staking,285932959
Coinbase,261267695
Luganodes,246980896
Binance Node,227176832
Matic Power,207785615
Figment,182666848
Web3Nodes Validator 🌎 0% fee,167095623
Anonymous 93,167055313
Anonymous 94,133269372
Kiln x Ownest 🔸 Pro Staking 🔸,122790696
Everstake 0% fee,112503681
Kraken,108425678
Anonymous 91,99790755
P2P.org 0% Fee,95937723
Girnaar Nodes,86634084
Stakin,79922219
Vault Staking,76715574
Allnodes ⚡️ 0% fee,61962058
Staking4all - 0% fee,43555142
StakePool,42304193
Blockdaemon,37294662
Anonymous 92,31170681
Matrix Stake,23761622
TruFin,18113003
Abyss Finance 🔥 0% fee,14914222
SelfLiquidity,9715823
LinkPool,8717701
The Abyss (0% commission),8202601
🐠 stake.fish,7967616
Supermoon,7850652
Blue Ocean,7294342
Meria,6321246
HashKey Cloud,6228892
Nobi,5986048
Prometheus Pool,5365637
CheckBit 0% fee,5065806
Valis Labs,4853599
Making.cash,4488344
Fahrenheit ❄️ 0%,4415492
stakeFi Network,4071240
algo | stake,3942835
Smart Stake 📈📊,3610637
Blocks United,2797636
Infosys,2784093
DeFiMatic,2600282
Coinstash,2543161
Tessellated,2520653
Newroad Network,2503441
Rasputin,2488500
Vader 73,2481762
Streamr,2452294
Blocksize,2395054
Data Nexus,2320686
Stake.Works,2156810
Chorus One,2095140
vido.info,2009703
Vitwit,1989942
bountyblok,1988976
PolygonGo,1987849
VC Capital,1878466
Matic Friends,1865520
EMC2 Node,1852666
Cryptech-Hacken,1680850
NodeOps,1588308
Sakura Foundation,1559444
BCW Technologies,1557700
AnkrValidator,1482648
Diversified Validator Network,1276382
PathrockNetwork,1197979
Validatrium,1149640
Atlas Staking,1136822
Perfect Stake 🥩,1065448
Deepheat,1057396
Smartpay Validator,1013006
Gonedator,1000658
Fierydev-MCLB,887078
StakeCraft 🔥 0% Fee,820390
Pentagon Chain,748139
Shard Labs,549161
Web3Auth Validator,471159
FreshSTAKING,342623
Pentagon Games,336515
Mantra Chain,305285
Simply Staking,282893
Stake Capital,264671
Wetez,255485
RockX,250344
Cryptonomicon,237029
Blockops,222267
Orion by Atlas Staking,217022
SolidStake,207834
Mind Heart Soul,205863
Republic Crypto / Source,200816
Northstake,195533
SenseiNode,190771
kytzu,153797
DSRV,147024
Forbole,103615
Zero Hash,103578
Google Cloud,63442
Sentinel Stake,60233
Pier Two,33358
Stakeway Validator,29943
