address,tokens
Twinstake,297563149
Upbit Staking,280333008
Coinbase,263554600
Luganodes,262267373
Binance Node,227367966
Matic Power,207785914
Figment,178820453
Anonymous 93,167590756
Web3Nodes Validator 🌎 0% fee,167522607
Anonymous 94,133269069
Kiln x Ownest 🔸 Pro Staking 🔸,123431044
Everstake 0% fee,111577799
Kraken,104213215
Anonymous 91,99690755
P2P.org 0% Fee,95636040
Girnaar Nodes,92549420
Stakin,79894145
Vault Staking,76755383
Allnodes ⚡️ 0% fee,66480615
Staking4all - 0% fee,44069268
Blockdaemon,37530047
StakePool,36036131
Anonymous 92,31063318
Matrix Stake,23771919
TruFin,18108986
Abyss Finance 🔥 0% fee,15091654
SelfLiquidity,9775153
The Abyss (0% commission),8266157
LinkPool,8185805
🐠 stake.fish,7992749
Supermoon,7912801
Blue Ocean,7267346
Meria,6341930
HashKey Cloud,6169684
Nobi,5986018
Prometheus Pool,5636136
Valis Labs,4854721
CheckBit 0% fee,4520910
Making.cash,4486754
Fahrenheit ❄️ 0%,4449716
stakeFi Network,4073099
algo | stake,3946491
Smart Stake 📈📊,3620518
Blocks United,2807843
Infosys,2784093
Deutsche Telekom,2751743
DeFiMatic,2600677
Coinstash,2543161
Tessellated,2531673
Vader 73,2513169
Newroad Network,2503936
Rasputin,2491600
Streamr,2489101
Data Nexus,2320673
Blocksize,2310917
Chorus One,2262914
PolygonGo,2194974
Stake.Works,2171065
Matic Friends,2165479
vido.info,2009106
bountyblok,1990159
VC Capital,1880006
EMC2 Node,1823525
Cryptech-Hacken,1680850
NodeOps,1596547
BCW Technologies,1590922
Sakura Foundation,1558133
Vitwit,1489942
AnkrValidator,1476868
Diversified Validator Network,1276271
PathrockNetwork,1200229
Validatrium,1149640
Atlas Staking,1143415
Perfect Stake 🥩,1085981
Deepheat,1060812
Smartpay Validator,1013006
Gonedator,1000658
Fierydev-MCLB,920370
Hexagon City,750962
StakeCraft 🔥 0% Fee,644867
Shard Labs,553167
Web3Auth Validator,469461
FreshSTAKING,342623
Pentagon Games,337050
Mantra Chain,305255
Simply Staking,287369
Stake Capital,264632
Cryptonomicon,237029
Wetez,230417
RockX,225344
Blockops,222490
Orion by Atlas Staking,216875
SolidStake,207686
Mind Heart Soul,206393
SenseiNode,188089
Northstake,186531
Republic Crypto / Source,165499
kytzu,158368
DSRV,147133
Zero Hash,107872
Forbole,101291
Google Cloud,62752
Sentinel Stake,49953
Pier Two,32225
Stakeway Validator,25089
