address,tokens
Qubelabs,27065667349388
bitcoinsuisse.com,26698581532955
Finoa Consensus Services,24560666891618
Chorus One,19581822426077
BinanceNode,19569557628503
P2P.org 💙,17477921832439
Figment,15095659906580
P-OPS Team,13105660830915
Anchorage Digital,10999868273175
Keplr,10426675272203
Cosmostation,10347661054030
Upnode,7405337893591
Staking Facilities,7247223583847
Hex Trust,7048667174713
Coinbase,6915362880617
Binary Builders,6859820461391
CUCK.,6817250044820
Everstake,6497462642209
Kiln,6386073031342
IYKYK,6135942908158
DSRV,6052461841418
T DATA,6029132674191
01node,6014387938085
ContributionDAO,5816460387994
Cumulo,5759472149983
Tane,5500387990515
TTT VN,5500360397038
KYVE Public Good Funding,5500121947410
node101,5500120840521
Nansen,5494946090584
senggigi,5122918542873
GalaxyDigital,5116876216072
Goose,5000425041970
Nocturnal Labs,4953613488171
XPRV,4203840755436
Informal Systems,3999795559726
NodeStake,3945243120251
Validatus,3812950680603
Stakely.io,3784878462425
Kraken,3747893590773
Stakecito,3731109347772
Stakin,3646065437761
Easy 2 Stake,3559246657347
Nodes.Guru,3450193060932
Enigma,3420437706434
B-Harvest,3397764056106
 kjnodes.com 🦄,3355981287285
Alchemy,3330819182515
ZKV,3294247336771
wavefive,3131164154807
Stake🦑Squid,3123119471044
Smart Stake 📈📊,3048001712969
itrocket,3041226475229
STAKEME,3036840361060
alphab.ai,3034255699278
CroutonDigital,3032013043331
StakeTown,3012968277100
LuckyResearch Labs,3010272809592
deNodes,3004204402710
Kairos Research X Firstset,3003425908002
F5 Nodes,3001081955866
CosmoWiz,3000908986056
mammoth.guru,3000481852740
Cosmic Validator,3000421795632
CHAIN DIGITAL,3000220695917
bitszn,3000204987746
StakeUs,3000126887414
ECAD Infra,3000116091818
21state,3000112201100
Neoprom,3000058084290
quantumcore,3000054800000
ChainTrails Team | 🛠️,3000001020000
DTEAM,3000001000000
Endorphine Stake,3000001000000
POSTHUMAN 🧬 StakeDrop,2513439014634
VALIDEXIS,2500116820565
Imperator.co,2386746796597
AI,2325414065409
Swiss Staking,2218161105330
Blockdaemon,2087571159198
Go,1925234889697
polkachu.com,1823181008774
Colossus,1645503745824
PRYZM | StakeDrop,1407997093492
Allnodes,1398443231412
LatamNodes,1305116999619
BlackBlocks,1284041309940
ValiDAO,1214965991399
Larry Engineer,1186867544834
project blanc,1182392003603
strangelove,1146706063000
w3.labs,1101356968702
NakoTurk,1047367759462
ttechvalidator,1000294300149
iqlusion,952158566971
 Lavender.Five Nodes 🐝,774204602647
Twinstake,687985467785
StakeLab.zone,443759249502
FreshSTAKING,405042824847
Node Guardians,362365401346
✅ CryptoCrew Validators,343397399888
StakingCabin,305619656888
Brightlystake,161746262407
"Frens (🤝,🤝)",153592717378
Astria,82468513700
Lemniscap,61681902493
<decommissioned>,43387615221
Please Redelegate to The New node101 Validator,42269706962
"[Sunsetting, please redelegate] | Forbole",40354057486
PLEASE REDELEGATE TO THE NEW DTEAM VALIDATOR,36555336094
PLEASE REDELEGATE - CLOSING | ChainodeTech,31003466583
MZONDER,21973005798
Staker Space,19325314314
Meria,17692321524
<decommissioned>,12351753030
Conqueror,11490476695
Staking4All,10874156177
Gunter,10544128977
[NODERS],9853443378
kooltek68,9846952677
W3.Hitchhiker,9498643539
Moonlet,9243401229
BitNordic,8779282557
PartnerStaking | Timeworx.io Airdrop,7996525568
Anonymous,7138977868
0xFury,6942091293
spidey,5973573586
Encapsulate (fka KingSuper),5915233831
counterpoint,5887581935
KEK,5553586760
Please Redelegate,5429380389
Active Nodes,3963648823
MyStake,3717355601
 Blockscope.net,3331731463
Validatrium. Inactive - redelegate please,3017114505
<Dora Factory decommissioned>,2615740769
UNBONDING - PLEASE REDELEGATE,2499997203
Maple Nodes,2131204257
MH Ventures,2000355186
<decommissioned>,1856938108
TrustedPoint,1419388750
Neuler,1383769504
Crosnest,1278698954
Suntzu,1255791046
Witval,1246071325
<decommissioned>,1221181165
KalpaTech,1103318771
Decentrio,1070894596
<decommissioned>,961917875
Notional,515956867
BlackNodes,495450331
Neoprom,434385010
SG-1,371864130
LowFeeValidation,347783458
AM Solutions 🪐,327498788
 AutoStake 🛡️ Slash Protected,297595332
quantumcore,269326015
Please redelegate,228722339
nysa.network,218541289
Inactive,212942551
Earthbender,183441795
HFA X Defi Dojo Validation,78764720
<decommissioned>,73239667
openbitlab,55913986
 Silk Nodes,55000000
[Please redelegate],50349881
vortexray,50010812
INACTIVE,48545934
Stakeflow,27882373
Anonstake,22368374
ECO Stake 🌱,16038689
GPvalidator,15264838
Kraymerica,15000000
Cosmos Spaces,14610886
0base.vc,11662808
Tessellated,11631813
StakePool,11010922
StakeCapital,10043124
BlockHunters 🎯,10040450
Celestine Sloth Society,10000000
Bro_n_Bro,9045640
Architect Nodes,9028757
AiNodes,8000000
Inactive,7000000
AndromedaPool,6624079
please Redelegate,6336540
Huginn,6310594
OmniFlix Network,6043704
Ubik Capital,6011130
NacionCrypto - Parceros,5782894
openstake.net,5032923
Citizen Web3,4409562
  Oni ⛩️,3041706
Kleomedes,3025752
Quadro_Network,2870531
Inter Blockchain Services,2582591
,2312083
BloClick,2210619
