blockchain,total_validators,gini_coefficient,nakamoto_coefficient,hhi_coefficient,gini_srsw,nakamoto_srsw,hhi_srsw,gini_log,nakamoto_log,hhi_log,gini_desw,nakamoto_desw,hhi_desw
ethereum,795,0.9853867561220511,3,0.12215012457304827,0.8362112356802484,15,0.024803846793725094,0.27681956827155085,273,0.0015343971259036613,0.10113422226417257,390,0.0012593804454639026
polygon,104,0.8112361913049086,7,0.05106973372859147,0.5876332402819044,14,0.02473702094272139,0.08783532628593438,46,0.009847850992824364,0.2510776155510813,33,0.011717839814594342
injective,50,0.4212364552951624,11,0.03555209498907266,0.21517869524623745,18,0.02325997536230043,0.0313481931323345,24,0.02006028454950781,0.24890064860850125,17,0.02449099782943238
axelar,75,0.5405275575753392,12,0.0308846365471237,0.3408450037832551,22,0.018479583833829874,0.07372851193987784,35,0.013642032115877157,0.32138722104504847,23,0.017857558157127754
celestia,263,0.7941720031901598,20,0.020575611936616566,0.6975110087371639,36,0.011292720006246726,0.19640048668675658,99,0.004142173276941103,0.5371243916027524,55,0.007305935792796372
celo,85,0.4215443570309131,22,0.018812606557036683,0.2893194994334397,29,0.014841409833409798,0.030893384188627193,42,0.011796034904796884,0.31412173889605544,27,0.015376018728431936
sui,121,0.34945828321682815,32,0.011814930422563251,0.18149968510448944,45,0.009133239865153315,0.009534762022275878,60,0.0082667339322463,0.23424744974334544,41,0.009746291543603432
aptos,154,0.4611736471091229,34,0.011312167532781206,0.27306642024109107,51,0.007835259971598627,0.04540650628272358,75,0.006509678592070576,0.2892958533165165,49,0.008023963017155723
