blockchain,total_validators,gini_coefficient,nakamoto_coefficient,hhi_coefficient,gini_srsw,nakamoto_srsw,hhi_srsw,gini_log,nakamoto_log,hhi_log,gini_desw,nakamoto_desw,hhi_desw
ethereum,797,0.9853207464264034,3,0.12066841488797819,0.8361241134299813,15,0.02470905080517195,0.2757310473888762,274,0.0015306851784592295,0.0999566344225441,391,0.0012562337920090664
polygon,105,0.8124327588520547,7,0.051048355286544264,0.5874054454510693,14,0.02458288764947305,0.0876462472965589,47,0.00975360198151848,0.24885947839400702,34,0.011573579098940466
injective,50,0.42105434875617154,11,0.03556329399929207,0.2150337015353716,18,0.02325772964428501,0.03132619352032384,24,0.020060209490483233,0.2488175122940901,17,0.024491817129499476
axelar,75,0.5403052512914068,12,0.030878351932676903,0.34122024208541335,22,0.01849174389130575,0.0743659201679,35,0.013647826996401683,0.32194827030775497,23,0.017874803237001854
celestia,263,0.7952646556226792,20,0.020645495889724017,0.6980879648593087,36,0.011318789727464293,0.1964393949564882,99,0.004142298167789937,0.5360425172834028,56,0.007288679827180414
celo,85,0.4215443570309131,22,0.018812606557036683,0.2893194994334397,29,0.014841409833409798,0.030893384188627193,42,0.011796034904796884,0.31412173889605544,27,0.015376018728431936
sui,121,0.34891233862863,32,0.01179643029849682,0.1812938502916659,45,0.009130206430248748,0.009528949894601846,60,0.008266729919765509,0.23413611414726265,41,0.009742840804017282
aptos,154,0.4708539549426479,33,0.011520111146386893,0.28052766518328043,50,0.007914104260614906,0.046172777815702615,75,0.006510371214464357,0.2929568349395718,49,0.008061250154289195
